Feature_1,Feature_2,Target
2.3508615050769137,-0.4507903989568611,0
3.8125102604968517,6.321525830056577,1
-12.625334349816562,5.427358118119817,3
-0.23677569144196853,-6.710471138743634,2
3.5042817435843574,9.97148578640299,1
4.684082135234207,0.5020344326874217,0
-14.989860259968319,3.7902970320127025,3
-5.079704643898296,-0.17939880787281126,2
7.370612309205065,-1.326514771779007,0
-10.558332396760031,4.45799984041046,3
2.5675444948965067,-7.395273911102085,2
5.195874588336871,2.0650513476500674,0
-8.691333497285854,1.0090375362164363,3
6.36988094089124,-0.426781379827043,0
6.004378924912749,2.05877304974023,0
2.0399325014242318,1.2565693713800452,2
4.984617568465412,-0.1664768495994733,0
0.5496814747932914,6.275747116642101,1
-7.907928151159238,4.32978450333756,3
-1.5558367575219727,-3.0022925896682753,2
6.133048877224621,8.13463732937628,1
-0.6333135893154969,0.6498479106418777,2
1.1308754887522614,-4.748973138977755,2
5.992573131100409,1.1196165635258113,0
5.911586913203304,2.766431607062593,0
-2.906473664280707,0.7993117596246408,2
6.431326312095301,7.487121306290827,1
-0.8728474073430829,-3.7213066303228417,2
-11.172782229809624,4.443288115932583,3
0.28635764454157075,-2.359037619045212,2
1.6777984556584804,7.159257050365486,1
4.032879786939607,1.6374697367471902,0
-12.577619690843495,3.1685048267502585,3
3.692212811505594,10.41627015027726,1
-12.566572266169757,3.426416002847105,3
-7.503343871760352,1.1469968304525766,3
3.902417192774026,9.821710907910688,1
6.106602940143299,0.1590512927007076,0
3.6488112105434407,8.838023767956617,1
1.6488568817433156,-1.92745506990387,0
5.5751847137378725,1.3776267962196491,0
-8.571303422691825,5.301430845623608,3
5.86740405962657,10.249377472122603,1
4.547316224768623,0.8457532729708274,0
-2.5121773469627806,-2.5403849836258314,2
7.971643266696887,-0.9479846241774177,0
-2.3037778415446244,-0.7328137825280256,2
-10.37772908072104,2.911611528883246,3
-2.127908690750305,-1.8755264649766312,2
2.173639632959495,0.6099453831109345,0
-9.23623721584236,2.1673613453895735,3
9.077240328763473,0.4318495358593675,0
-9.532309390904096,-2.7543168721576743,3
-12.869085622626823,3.557106501874871,3
3.125669453336765,1.0054741748765812,0
4.584306969422162,-0.02533032794523926,0
6.834595500502042,5.289603043204783,1
2.0627907994406094,2.4713560329046,0
2.389741360484751,6.2702024752680785,1
